iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,rank
AUS,Australia,2020,391.892,15.368,,3.025,0.119,159.817,6.267,20.341,0.798,80.208,3.145,124.606,4.886,3.895,0.153,-5.46,-22.625,,0.253,,,,18635.75,192.373,10231.205,287.304,2082.69,5731.696,110.483,,1.13,0.19,1.14,4.68,1.08,1.13,1.31,1.1,0.45,1.3,1.61,0.85,0.97,1.18,,,,,,,,,25499881,,1546.83,60660.293,,11
ARE,United Arab Emirates,2020,150.268,15.193,,8.732,0.883,9.81,0.992,1.125,0.114,115.025,11.63,15.577,1.575,,,-2.54,-3.918,,0.129,,,,4695.477,155.329,75.601,416.946,2848.584,1199.017,,,0.43,0.54,0.07,0.26,1.55,0.14,,0.28,0.36,0.01,2.34,1.16,0.2,,,,,,,,,,9890400,,1163.958,117685.602,,12
SXM,Sint Maarten (Dutch part),2020,0.623,14.539,,,,,,,,,,0.623,14.539,,,-11.51,-0.081,,,,,,67.704,,,,,67.704,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,42882,,,,,13
USA,United States,2020,4712.771,14.238,,40.795,0.123,888.649,2.685,84.51,0.255,1654.988,5,2020.538,6.104,23.291,0.07,-10.33,-543.046,,0.193,,,,416723.089,2745.186,175650.187,2253.809,76554.828,158138.194,1380.885,,13.54,2.51,6.36,19.43,22.37,18.25,7.82,24.56,6.36,22.28,12.67,31.22,26.68,14.76,,,,,,,,,331002647,,24387.388,73677.319,,14
CAN,Canada,2020,535.823,14.197,,7.177,0.19,45.118,1.195,15.947,0.422,219.132,5.806,246.355,6.527,2.094,0.056,-8,-46.567,,0.142,,,,33576.743,369.391,9666.374,603.623,8046.752,14804.733,85.87,,1.54,0.44,0.32,3.67,2.96,2.22,0.7,1.98,0.86,1.23,3.39,3.28,2.5,0.92,,,,,,,,,37742157,,3785.898,100309.524,,15
FRO,Faeroe Islands,2020,0.684,13.996,,,,,,,,,,0.684,13.996,,,-7.08,-0.052,,,,,,30.637,,,,,30.399,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,48865,,,,,16
LUX,Luxembourg,2020,8.175,13.059,,0.395,0.631,0.268,0.428,0,0,1.481,2.367,5.952,9.508,0.079,0.125,-16.18,-1.578,,0.205,,,,753.686,19.86,358.055,0.002,73.649,299.997,2.124,,0.02,0.02,0,0,0.02,0.05,0.03,0.04,0.05,0.05,0,0.03,0.05,0.02,,,,,,,,,625976,,39.891,63726.112,,17
TKM,Turkmenistan,2020,75.338,12.491,,1.45,0.24,,,,,53.863,8.931,20.024,3.32,,,-1.29,-0.981,,0.193,,,,2434.766,36.649,,,1354.213,957.645,,,0.22,0.09,,,0.73,0.18,,0.14,0.08,,,0.55,0.16,,,,,,,,,,6031187,,389.851,64639.236,,18
OMN,Oman,2020,62.163,12.173,,2.096,0.41,,,3.059,0.599,53.163,10.411,3.844,0.753,,,2.31,1.406,,0.163,,,,1251.111,37.631,,130.566,797.988,284.926,,,0.18,0.13,,0.7,0.72,0.03,,0.07,0.09,,0.73,0.33,0.05,,,,,,,,,,5106622,,380.513,74513.602,,19
PLW,Palau,2020,0.219,12.125,,,,,,,,,,0.219,12.125,,,0.14,0,,,,,,10.562,,,,,10.562,,,0,,,,,0,,0,,,,,0,,,,,,,,,,18092,,,,,20
KOR,South Korea,2020,597.605,11.656,,22.871,0.446,282.883,5.518,,,114.831,2.24,166.717,3.252,10.303,0.201,-7.78,-50.42,,0.182,,,,18335.707,935.997,8073.524,,1955.101,7168.376,202.591,,1.72,1.41,2.02,,1.55,1.51,3.46,1.08,2.17,1.02,,0.8,1.21,2.17,,,,,,,,,51269183,,3274.316,63865.188,,21
TWN,Taiwan,2020,273.175,11.47,,5.378,0.226,154.019,6.467,,,46.425,1.949,66.328,2.785,1.025,0.043,-0.78,-2.158,,0.204,,,,9046.736,397.361,4510.106,,733.35,3363.325,42.594,,0.78,0.33,1.1,,0.63,0.6,0.34,0.53,0.92,0.57,,0.3,0.57,0.46,,,,,,,,,23816775,,1338.485,56199.237,,22
BES,Bonaire Sint Eustatius and Saba,2020,0.301,11.466,,,,,,,,,,0.301,11.466,,,-11.51,-0.039,,,,,,30.354,,,,,30.354,,,0,,,,,0,,0,,,,,0.01,,,,,,,,,,26221,,,,,23
RUS,Russia,2020,1577.136,10.807,,20.306,0.139,356.946,2.446,46.762,0.32,747.591,5.123,388.774,2.664,16.757,0.115,-6.09,-102.313,,0.2,,,,115344.15,1636.979,45132.885,1161.175,34157.493,32715.047,540.571,,4.53,1.25,2.55,10.75,10.1,3.51,5.63,6.8,3.79,5.72,6.53,13.93,5.52,5.78,,,,,,,,,145934460,,7865.165,53895.194,,24
,Oceania,2020,444.571,10.486,,3.523,0.083,171.301,4.041,21.362,0.504,89.064,2.101,154.67,3.648,4.651,0.11,-5.65,-26.618,,0.25,,,,20981.298,229.925,10919.578,316.955,2420.702,6960.125,134.013,,1.28,0.22,1.23,4.91,1.2,1.4,1.56,1.24,0.53,1.39,1.78,0.99,1.17,1.43,,,,,,,,,42677809,,,,,25
BMU,Bermuda,2020,0.624,10.028,,,,0.017,0.27,,,,,0.608,9.758,,,-10.54,-0.074,,,,,,29.205,,0.076,,,29.13,,,0,,0,,,0.01,,0,,0,,,0,,,,,,,,,,62273,,,,,26
,North America,2020,5775.159,9.805,,76.87,0.13,965.43,1.639,100.457,0.171,2057.877,3.494,2549.14,4.328,25.385,0.043,-10.61,-685.568,,0.192,,,,477801.968,4060.243,186969.056,3467.716,89871.057,191967.142,1466.755,,16.59,4.73,6.91,23.09,27.81,23.02,8.53,28.16,9.41,23.72,19.49,36.65,32.39,15.68,,,,,,,,,592062319,,,,,27
,High-income countries,2020,11828.816,9.776,,225.114,0.186,2607.08,2.155,155.745,0.129,3929.713,3.248,4823.553,3.986,87.613,0.072,-8.77,-1136.689,,0.183,,,,966097.326,13967.533,448412.967,6474.226,146937.116,346825.318,3480.164,,33.98,13.84,18.65,35.8,53.11,43.56,29.43,56.95,32.36,56.88,36.39,59.92,58.52,37.21,,,,,,,,,,,,,,28
GRL,Greenland,2020,0.514,9.061,,,,,,,,,,0.514,9.061,,,-7.08,-0.039,,,,,,33.05,,,,,30.876,,,0,,,,,0,,0,,,,,0.01,,,,,,,,,,56772,,,,,29
IRN,Iran,2020,745.035,8.87,,23.877,0.284,5.114,0.061,60.225,0.717,434.227,5.17,221.592,2.638,,,1.59,11.669,,0.223,,,,18914.439,516.436,213.625,1929.558,7019.11,9235.71,,,2.14,1.47,0.04,13.84,5.87,2,,1.11,1.2,0.03,10.84,2.86,1.56,,,,,,,,,,83992953,,3341.689,39785.35,,30
SPM,Saint Pierre and Miquelon,2020,0.051,8.738,,,,,,,,,,0.051,8.738,,,-11.51,-0.007,,,,,,3.677,,,,,3.181,,,0,,,,,0,,0,,,,,0,,,,,,,,,,5795,,,,,31
ISL,Iceland,2020,2.936,8.604,,,,0.685,2.007,0.163,0.478,0,0.001,2.081,6.098,0.007,0.019,-17.31,-0.615,,0.052,,,,151.824,,19.24,4.071,0.005,125.669,0.088,,0.01,,0,0.04,0,0.02,0,0.01,,0,0.02,0,0.02,0,,,,,,,,,341250,,57.049,167175.409,,32
,Europe (excl. EU-28),2020,2017.88,8.574,,32.347,0.137,526.309,2.236,50.991,0.217,872.369,3.707,514.858,2.188,21.006,0.089,-6.21,-133.638,,0.202,,,,162869.285,2437.889,67697.593,1458.854,42764.729,47787.774,722.446,,5.8,1.99,3.77,11.72,11.79,4.65,7.06,9.6,5.65,8.59,8.2,17.44,8.06,7.72,,,,,,,,,,,,,,33
MYS,Malaysia,2020,272.607,8.423,,12.016,0.371,102.608,3.17,8.915,0.275,71.954,2.223,77.115,2.383,,,-2.17,-6.052,,0.239,,,,6071.964,263.386,1137.527,287.267,1731.652,2652.132,,,0.78,0.74,0.73,2.05,0.97,0.7,,0.36,0.61,0.14,1.61,0.71,0.45,,,,,,,,,,32365998,,1142.389,35295.966,,34
AIA,Anguilla,2020,0.123,8.227,,,,,,,,,,0.123,8.227,,,-11.51,-0.016,,,,,,3.421,,,,,3.421,,,0,,,,,0,,0,,,,,0,,,,,,,,,,15002,,,,,35
